text,correct,relevant,irrelevant,,
Support: Homologous chromosomes move toward opposite poles of a dividing cell during. \n Question: Homologous chromosomes move toward what poles?,opposite,interior,parasympathetic division,,
"Support: Much of the weather occurs at fronts, where air masses meet. \n Question: What occurs when air masses meet?",fronts,earthquakes,bipedal,,
Support: STIs are diseases caused by pathogens that spread through sexual contact. \n Question: What spreads sti during sexual contact?,pathogens,parasites,soil erosion,,
Support: 15.4 Alterations of chromosome number or structure cause some genetic disorders. \n Question: What causes genetic disorders in humans?,alterations of chromosome,variations of chromosome,efficiency,,
"Support: Beneath the lithosphere, the asthenosphere is solid rock that can flow. \n Question: What is located beneath the lithosphere?",asthenosphere,hydropshere,carbon,,
"Support: Moving air, like moving water, causes erosion. Moving air is called wind. \n Question: What is moving air called?",wind,steam,"type 1, type 2",,
Support: Plant-like protists are called algae. They include single-celled diatoms and multicellular seaweed. \n Question: What are plant-like protists called?,algae,fungi,gases,,
Support: Gabbro is a dark dense rock that can be found in oceanic crust. \n Question: Where is gabbro found?,oceanic crust,volcanoes,haploid,,
Support: The central vacuole maintains turgor pressure against the cell wall. \n Question: The central vacuole maintains turgor pressure against what?,the cell wall,the cell move,precambrian,,
Support: Archaea that live in salty environments are known as halophiles. \n Question: What type of archaea live in salty environments?,halophiles,arthropods,immune,,
"Support: The protist wraps around its prey, which is usually bacteria. \n Question: What is usually the prey of a protist?",bacteria,pathogens,the atmosphere,,
Support: Most of the digestion reactions occur in the small intestine. \n Question: Where do most of the digestion reactions occur?,small intestine,liver,negative numbers,,
Support: Cold and snow are typical for Chicago in the winter. \n Question: What is typical weather for chicago in winter?,cold & snow,rain and wind,digestive enzymes,,
"Support: Electric energy is measured in joules per second, or watts. \n Question: What is another term for joules per second?",watts,jiffies,fats and oils,,
Support: Vascular plants are further divided into seedless and seed plants. \n Question: What are the two types of vascular plants?,seedless and seed,dahlias and seed,carbohydrates,,
"Support: Wavelengths are described by a unit of distance, typically meters. \n Question: Wavelengths are described by a unit of what?",distance,weight,the cell wall,,
Support: The contractile vacuole is the star-like structure within the paramecia. \n Question: What is the star-like structure inside the paramecia?,the contractile vacuole,the reflex vacuole,insight learning,,
"Support: Some fireplaces use propane gas rather than wood as fuel. \n Question: Instead of wood, what do some fireplaces use?",propane,kerosene,pituitary gland,,
Support: List and describe the three major types of blood vessels. \n Question: List the three major types of blood vessels.,"arteries,capillaries, veins","vessels, tubes, veins",hot spot,,
Support: The continent of Antarctica is covered with an ice cap. \n Question: Which continent is covered with an ice cap?,antarctica,asia,kidneys,,
Support: The metallic bond is responsible for the properties of metals. \n Question: What is responsible for the properties of metals?,the metallic bond,the metallic properties,electrons,,
"Support: Like plants, algae contain chlorophyll and make food by photosynthesis. \n Question: How do plants and algae both make food?",photosynthesis,atherosclerosis,cancer,,
Support: Joules and calories are the units of energy and heat. \n Question: Joules and calories are the units of what?,energy and heat,weight and energy,epithelial tissue,,
Support: Seed plants called angiosperms produce seeds in the ovaries of flowers. \n Question: Where do angiosperms produce seeds in flowers?,ovaries,germs,net external force,,
Support: An electron possesses both particle and wave properties. CONCEPTUAL PROBLEMS 1. \n Question: An electron possesses both particle and these?,wave properties,shock properties,type 1,,
"Support: Lenses can be used to make visual representations, called images . \n Question: What can lenses be used to make?",visual representations,aspect representations,chemotrophic organisms,,
Support: The fetus is connected to the placenta through the umbilical cord. \n Question: What connects the fetus to the placenta?,umbilical cord,fallopian tube,fallopian tubes,,
Support: Mars has two moons that are thought to be captured asteroids. \n Question: What are mars' moons thought to be?,captured asteroids,guerrillas asteroids,longitudinal,,
Support: human body system of glands that release hormones into the blood. \n Question: Glands release what substance into the blood?,hormones,enzymes,"arteries, veins, capillaries",,
Support: Nebulae can be spotted with the naked eye or simple telescopes. \n Question: What is one method to observe nebulae?,telescope,mirror,territorial,,
Support: An enveloped virus. Varicella zoster virus causes chicken pox and shingles. \n Question: Varicella zoster virus causes what two illnesses?,chicken pox and shingles,flu and shingles,cyst,,
Support: The smallest cyclic ether is called an epoxide. Draw its structure. \n Question: The smallest cyclic ether is called what?,epoxide,aldehyde,iron,,
"Support: Some mollusks, such as oysters and scallops, are important food sources. \n Question: What type of creature is a scallop?",mollusk,insect,volcanologists,,
Support: Metals are elements that can conduct electricity. Most elements are metals. \n Question: Metals are elements that can conduct what?,electricity,cycle,operon,,
Support: Enzymes are classified by the types of reactions that they catalyze. \n Question: What is the basis of enzyme classification?,reactions they catalyze,their shape,inclined plane,,
Support: The oldest crust is coldest and lies deepest in the ocean. \n Question: Which crust lies deep inside the ocean?,oldest,shallowest,moves back and forth repeatedly,,
"Support: the distance light can travel in one year, 9.5 trillion kilometers. \n Question: What travels 9.5 trillion kilometers a year?",light,Sound,primary and secondary,,
Support: An important function of the circulatory system is transporting oxygen to cells. \n Question: Which system transports oxygens to cells?,circulatory system,vascular system,somatic,,
Support: Dolphins are mammals that have adapted to swimming and reproducing in water. \n Question: Dolphins are what type of animal?,mammal,reptile,salt,,
"Support: In a syncline, rocks arch downward. A three-dimensional syncline is a basin. \n Question: What is a three dimensional snycline?",a basin,a crust,the stomach,,
"Support: In an anticline, rocks arch upward. A three-dimensional anticline is a dome. \n Question: What is a three-dimensional anticline called?",dome,cave,fallopian,,
"Support: Nonvascular plants are low-growing, reproduce with spores, and need a moist habitat. \n Question: What do nonvascular plants reproduce with?",spores,photosynthesis,magnitude,,
Support: Autotrophs make their own food. Heterotrophs get food by eating other living things. \n Question: How do autotrophs get food?,make their own,From Water,viruses,,
Support: Laurentbonneau. The holes in bread are created by yeast fermentation . CC-BY 3.0. \n Question: What causes holes in bread?,yeast fermentation,heat,geologic maps,,
Support: Centrioles are made of short microtubules and are very important in cell division. \n Question: What are centrioles made from?,short microtubules,carbon,lobe-finned fish,,
Support: 21.6 Comparing genome sequences provides clues to evolution and development. \n Question: Comparing what sequences provides clues to evolution and development?,genome,DNA,chemical,,
"Support: Types of neurons include sensory neurons, motor neurons, and interneurons. \n Question: Types of neurons include sensory neurons, motor neurons, and?",interneurons,histones,friction,,
Support: Sex-linked traits are located on genes on the sex chromosomes. \n Question: Sex-linked traits are located on genes on what chromosomes?,sex,reactive,sexually,,
Support: The Sun is at the center of the solar system. \n Question: What is at the center of our solar system?,the sun,the moon,traits,,
Support: 9.2 Glycolysis harvests chemical energy by oxidizing glucose to pyruvate. \n Question: Glycolysis harvests chemical energy by oxidizing glucose to what?,pyruvate,chlorophyll,electric,,
Support: 6.2 Eukaryotic cells have internal membranes that compartmentalize their functions. \n Question: What do eukaryotic cells have that compartmentalize their functions?,internal membranes,vacuoles,achondroplasia,,
Support: The kinetic-molecular theory describes the behavior of an ideal gas. \n Question: What does the kinetic-molecular theory describe the behavior of?,an ideal gas,a liquid,technological design,,
Support: Excretion is the process of removing wastes from the body. \n Question: Name the process of removing wastes from the body.,excretion,filtration,population density,,
Support: Compact bone makes up the dense outer layer of bones. \n Question: What makes up the dense outer layer of bones?,compact bone,marrow,heart,,
Support: Collisions between hydrogen atoms demonstrate one form of nuclear fusion. \n Question: Collisions between hydrogen atoms demonstrate one form of what?,nuclear fusion,nuclear reaction,theory of plate tectonics,,
Support: The pancreas and liver secrete fluids that aid in digestion. \n Question: What two organs secrete fluids that aid in digestion?,pancreas and liver,kidney and gall bladder,molecular compounds,,
Support: Atomic orbitals from different atoms overlap to form molecular orbitals. \n Question: Atomic orbitals from different atoms overlap to form what?,molecular orbitals,plasma orbitals,photosynthesis,,
Support: Molar mass is equal to density multiplied by molar volume. \n Question: Molar mass is equal to density multiplied by what?,molar volume,molar energy,algae,,
Support: Liverworts are small plants that grow close to the ground. \n Question: Liverworts are small plants that grow close  to what?,ground,houses,slow,,
Support: Elastic rebound occurs when materials return to their original shape. \n Question: What happens when materials return to their original shape?,elastic rebound,reverberation,old faithful,,
"Support: 35.5 Growth, morphogenesis, and cell differentiation produce the plant body. \n Question: Growth, morphogenesis, and cell differentiation produce the plant what?",body,fur,speed,,
"Support: Diseases of the respiratory system include asthma, pneumonia, and emphysema. \n Question: Asthma, pneumonia, and emphysema are diseases of what system?",respiratory,reproductive,electric circuits,,
Support: The Krebs cycle is the second stage of cellular respiration. \n Question: What cycle is the second stage of cellular respiration?,krebs cycle,electron transport chain,glucose,,
"Support: 6. Mercury is small, rocky and covered with craters. Why?. \n Question: Mercury is small, rocky and covered with what objects?",craters,rivers,feldspar and quartz,,
Support: An electormagnet is a piece of iron inside a solenoid. \n Question: An electormagnet is a piece of iron inside a?,solenoid,copper core,chlorine,,
"Support: When the helium is gone, the stars become white dwarfs. \n Question: When the helium is gone, the stars become what?",white dwarfs,comets,psychoactive drug,,
Support: Ionic crystals are composed of alternating positive and negative ions. \n Question: What are composed of alternating positive and negative ions?,ionic crystals,magnetic crystals,fungi,,
Support: The kidneys are the chief organs of the urinary system. \n Question: What is the chief organ of the urinary system?,kidney,liver,stratigraphy,,
Support: Non-polar molecules can interact by way of London dispersion forces. \n Question: What type of force allows non-polar molecules to interact?,london dispersion,experienced dispersion,small intestine,,
Support: Blue cheese is blue because of the fungus growing throughout it. \n Question: What color is the fungus in blue cheese?,blue,green,atherosclerosis,,
Support: Chemical energy and nuclear energy are other forms of potential energy. \n Question: Chemical energy is another form of which energy?,potential energy,heat energy,genital herpes,,
"Support: The sub-energy levels are identified by the azimuthal quantum number, . \n Question: What are identified by the azimuthal quantum number?",sub-energy levels,ionic-energy level,color vision,,
Support: 46.4 The interplay of tropic and sex hormones regulates mammalian reproduction. \n Question: What two types of hormones regulate mammalian reproduction?,tropic and sex,tropic and subtropic,pressure increases,,
Support: Earthquake: What Does Magnitude Mean? at http://www. livescience. com/20538-earthquake-magnitude-video. html (2:00). \n Question: What is the strength of an earthquake called?,magnitude,power,"reduce, reuse, recycle",,
"Support: Amphibians are the first true tetrapods, or vertebrates with four limbs. \n Question: Which vertebrates were the first with four limbs?",amphibians (or tetrapods),bony fishes,body,,
Support: human body system that includes all the muscles of the body. \n Question: Compound light microscopes use lenses to do what?,focus light,stop light,immigration,,
Support: Transmitted light may be refracted or scattered. When does each process occur?. \n Question: What two ways may light be transmitted?,refracted or scattered,magnified or scattered,sex-linked,,
"Support: Adulthood is divided into the stages of early, middle, and late adulthood. \n Question: Adulthood is divided into how many stages?",three,two,electromagnetism,,
Support: Voltmeters have high resistances and are placed in the circuit in parallel. \n Question: How are voltmeters placed in the circuit?,in parallel,since parallel,peridotite,,
Support: 34.8 Humans are mammals that have a large brain and bipedal locomotion. \n Question: What type of locomotion do humans have?,bipedal,crawling,an embryo,,
"Support: Wakefulness is regulated by the reticular formation, which is present in the. \n Question: What is regulated by the reticular formation?",wakefulness,awkwardness,pedalfer,,
Support: Most metal objects are made of metal alloys rather than pure metals. \n Question: What are most metal objects made of?,metal alloys,tin,an amine,,
Support: ; Power released is equal to the voltage multiplied by the current. \n Question: What is the equation of power released?,voltage x current,amplitude x current,stars,,
Support: Metju12. Cold sores are caused by a herpes virus . Public Domain. \n Question: Name the virus that causes cold sores.,herpes virus,Epstein-Barr,thymus,,
Support: Gravity keeps the Moon orbiting Earth. Gravity keeps the planets orbiting the Sun. \n Question: What keeps the moon orbiting earth?,gravity,Coriolis effect,decrease its solubility,,
Support: Mike Johnston. Whale sharks are the largest cartilaginous fish . CC BY 2.0. \n Question: What is the largest cartilaginous fish?,whale shark,dolphin,species,,
Support: The atria receive blood and the ventricles pump blood out of the heart. \n Question: What receives blood in the heart?,the atria,chamber,fungi,,
Support: Biochemical reactions are chemical reactions that take place inside the cells of organisms. \n Question: Where do biochemical reactions take place?,inside the organisms' cells,between cells,catalyst,,
Support: Minerals are divided into groups. The groups are based on their chemical composition. \n Question: Minerals are grouped based on what?,chemical composition,carbon composition,gardasil,,
"Support: Female reproductive organs form before birth. However, they do not mature until puberty. \n Question: When do female reproductive organs mature?",at puberty,at menopause,heat and electricity,,
"Support: All matter consists of atoms, which cannot be further subdivided into smaller particles. \n Question: What does all matter consist of?",atoms,carbon,gravity,,
"Support: Solar energy travels in photons. Photons travel in waves, which make up electromagnetic radiation. \n Question: Solar energy travels in what?",photons,ions,humans,,
Support: Zinc reacting with hydrochloric acid produces bubbles of hydrogen gas. \n Question: Zinc reacting with hydrochloric acid produces bubbles of which gas?,hydrogen,carbon,silver chloride,,
Support: Every chemical reaction occurs with a concurrent change in energy. \n Question: Every chemical reaction occurs with a concurrent change in what?,energy,neutrons,blue,,
Support: Simple carbohydrates can be classified in terms of chain length. \n Question: Which carbohydrates can be classified in terms of chain length?,simple,binary,liquid,,
Support: Topographic maps have a horizontal scale to indicate horizontal distances. \n Question: Topographic maps have a horizontal scale to indicate what distances?,horizontal,diagonal,sedimentary,,
Support: The kidneys are the main organs of the urinary system. \n Question: What organs are the main organs of the urinary system?,kidneys,spleen,porphyrin ring,,
Support: Air conditioning systems that can incubate certain bacteria and mold. \n Question: Air conditioning systems can incubate certain bacteria and what else?,mold,Cancer,cell wall,,
Support: Latitude affects the amount of solar radiation a place receives. \n Question: Latitude affects the amount of which radiation a place receives?,solar,surface,precipitation,,
Support: An atom that gains or loses electrons is an ion. \n Question: An atom that gains or loses electrons is called what?,ion,photon,water cycle,,
"Support: Most single-celled eukaryotes are protists. Protists are the simplest eukaryotes. \n Question: What group includes the simplest eukaryotes, including most single-celled eukaryotes?",protists,arthropods,mixture,,
Support: Amines are bases; they react with acids to form salts. \n Question: Amines are bases; they react with acids to form what?,salts,oils,carbon,,
Support: People use fresh water from aquifers from springs or wells. \n Question: What do people use from aquifers from springs or wells?,fresh water,oxygen,heterotrophs,,
Support: Temperature is the average kinetic energy of particles of matter. \n Question: What is the average kinetic energy of particles of matter?,temperature,momentum,bacteria,,
"Support: Mass is independent of location, while weight depends on location. \n Question: What is a factor in determining weight but not mass?",location,function,kidney failure,,
Support: Bone marrow is found inside many bones. It produces lymphocytes. \n Question: Bone marrow is found inside many bones and produces what?,lymphocytes,tumors,coal and oil,,
"Support: The outer ear includes the pinna, ear canal, and eardrum. \n Question: The eardrum is part of what part of the ear?",outer,main,catalysts,,
Support: An antigen that causes an allergy is called an allergen. \n Question: What is defined as an antigen that causes an allergy?,an allergen,an expectorant,nonmetals,,
Support: Monosaccharides can be linked together to form disaccharides or polysaccharides. \n Question: What can be linked together to form disaccharides or polysaccharides?,monosaccharides,amino acids,catabolic,,
Support: Meiosis is the type of cell division that produces gametes. \n Question: What is the type of cell division that produces gametes?,meiosis,electrolysis,loud sounds,,
Support: Eukaryotic cells have a nucleus and membrane-bound structures called organelles. \n Question: In addition to a nucleus what do eukaryotic cells have?,organelles,nutrons,multicellular,,
"Support: At transform plate boundaries, two plates move in opposite direction. \n Question: At transform plate boundaries, two plates move in which directions?",opposite,parallel,nearsightedness and farsightedness,,
"Support: The three main rock types are igneous, metamorphic, and sedimentary. \n Question: The three main rock types are igneous, metamorphic, and what?",sedimentary,basalt,noble gas,,
"Support: There are two main types of fats, saturated and unsaturated. \n Question: Saturated and unsaturated are the two main kinds of what?",fats,sugars,opposite electron charge,,
Support: Elongation is the addition of nucleotides to the mRNA strand. \n Question: Elongation is the addition of what to the mrna strand?,nucleotides,codons,electric current,,
Support: All matter is composed of extremely small particles called atoms. \n Question: What are the extremely small particles that comprise all matter?,atoms,ions,the atmosphere,,
Support: Archaea that live in extremely hot environments are called thermophiles. \n Question: What are archaea that live in extremely hot environments called?,thermophiles,hypothermic,air pollution,,
Support: Water has high surface tension because of extensive hydrogen bonding. \n Question: What has high surface tension because of extensive hydrogen bonding?,water,hydrocarbons,mineral,,
Support: The rate of decay of carbon-14 is stable over time. \n Question: The rate of decay of carbon-14 does what over time?,remains stable,becomes unstable,biotic factors,,
"Support: During adulthood, testosterone is needed for the production of sperm. \n Question: During adulthood, what is needed for the production of sperm?",testosterone,steroids,insecticides,,
Support: Bacteria are responsible for many types of diseases in humans. \n Question: Bacteria are responsible for many types of what in humans?,diseases,colors,gamma radiation,,
"Support: Like bacteria, archaea can have flagella to assist with movement. \n Question: Like bacteria, archaea can have what to assist with movement?",flagella,cilia,radio waves,,
Support: Symbiosis describes a close and long-term interaction between different species. \n Question: What describes a close and long-term interaction between different species?,symbiosis,endosymbiosis,autonomous,,
Support: Pressure and temperature are directly proportional at a constant volume. \n Question: Pressure and ________ are directly proportional at a constant volume?,temperature,heating,process of desalinization,,
Support: Precipitation maps show the amount of rainfall in different areas. \n Question: Precipitation maps show the amount of what in different areas?,rainfall,population,thorax,,
"Support: Plant-like protists are autotrophs, meaning they make their own food. \n Question: Plant-like protists are autotrophs, meaning they make their own what?",food,spores,open-pit mine,,
Support: Some protists absorb nutrients from decaying matter like a fungus. \n Question: Some protists absorb nutrients from decaying matter like a what?,fungus,insects,bases,,
Support: The mesosphere has a very low density of gas molecules. \n Question: What is the concentration of gas molecules in the mesosphere?,very low density,high density,sphincter,,
Support: helium-3 is produced by beta decay of a certain nuclide. \n Question: Helium-3 is produced by beta decay of a certain what?,nuclide,electron,stolons,,
"Support: Pressure, volume, and temperature are related by the combined gas law. \n Question: Pressure, volume, and temperature are related by which law?",gas law,Law of Conservation,solid,,
Support: The light reactions also release oxygen gas as a waste product. \n Question: Light reactions also release oxygen gas as a what?,waste product,detritus product,compound,,
"Support: The light from a laser is monochromatic, coherent, and very intense. \n Question: At what point is water on the ph scale?","neutrality, 7","14, basic",sensory receptors,,
"Support: Drumlins, eskers, and kettle lakes are features made of glacial till. \n Question: What are drumlins, eskers, and kettle lakes formed by?",glaciers,earthquakes,hemoglobin,,
Support: General Cnidarian Life Cycle. Cnidarians may reproduce both asexually and sexually. \n Question: What are two ways cnidarians are able to reproduce?,asexually and sexually,mitosis and meiosis,density,,
Support: Most carcinogens produce mutations in genes that control the cell cycle. \n Question: Most carcinogens produce mutations in genes that control what?,cell cycle,ubiquitous cycle,infancy,,
Support: ; Power in electricity is the voltage multiplied by the current. \n Question: Power in electricity is the voltage multiplied by what?,the current,power,energy,,
Support: Ice wedging and abrasion are two important processes of mechanical weathering. \n Question: Abrasion is a process of what type of weathering?,mechanical,geological,negative,,
Support: Electrophiles have a strong tendency to react with nucleophiles. CONCEPTUAL PROBLEMS. \n Question: Electrophiles have a strong tendency to react with what?,nucleophiles,acids,planar joints,,
Support: The plasma membrane controls what moves inside and outside the cell. \n Question: What controls what moves inside and outside the cell?,the plasma membrane,nucleus,fossils,,
Support: Dimensional analysis can be used to carry out metric unit conversions. \n Question: What is used to carry out metric unit conversions?,dimensional analysis,mechanical analysis,lymph,,
Support: Secondary succession occurs in a formerly inhabited area that was disturbed. \n Question: What occurs when a former inhabited area gets disturbed?,secondary succession,tertiary succession,metalloids,,
Support: Alkenes have double bonds; alkynes have triple bonds. Both undergo addition reactions. \n Question: Alkenes have double bonds while alkynes have what?,triple bonds,single bonds,differential gene expression,,
Support: A kidney stone. The stones can form anywhere in the urinary system. \n Question: Kidney stones can form anywhere in what system?,urinary,digestive,underwater,,
Support: Moving particles transfer thermal energy through a fluid by forming convection currents. \n Question: Through what do moving particles transfer thermal energy?,fluid,plasma,negatively charged electrons,,
Support: Where an earthquake takes place is described by its focus and epicenter. \n Question: What is the center of an earthquake called?,the epicenter,the magnitude,natural resource,,
Support: Echinoderms generally reproduce by external fertilization; regeneration is fairly common among echinoderms. \n Question: What is the method of reproduction for echinoderms?,external fertilization,pollination,abrasion,,
Support: an endocrine system with glands that secrete chemical messenger molecules called hormones. \n Question: What is another term for chemical messenger molecules?,hormones,pheromones,the lungs,,
"Support: Skin is made up of two layers, the epidermis and the dermis. \n Question: What are the two layers of the skin?",epidermis and dermis,dermis and epithelial,electric field,,
Support: Radio telescopes collect radio waves and are sometimes used in large arrays. \n Question: What does an array of radio telescopes collect?,radio waves,thermal waves,lab safety symbols,,
Support: The simplest organic compounds are hydrocarbons and are composed of carbon and hydrogen. \n Question: What two element makes up a hyrdocarbon?,carbon and hydrogen,nitrogen and carbon,chemical bond,,
"Support: Structures in the dermis include hair follicles and sebaceous glands, which produce sebum. \n Question: What is produced by the sebaceous glands?",sebum,pheromone,gonads,,
Support: Lighter alkanes wash away protective skin oils; heavier alkanes form a protective layer. \n Question: How do heavy alkanes affect the skin?,form a protective layer,they do not affect the skin,silvery white,,
Support: Blood is a fluid connective tissue that contains a liquid component called plasma. \n Question: What is the liquid component in blood?,plasma,respiration,they are deoxygenated,,
Support: dome-shaped plug of thick lava that cools near the vent of a volcano. \n Question: Why do hummingbirds have long narrow bills?,to reach the nectar at the bottom of flowers,to feed their offspring,pumps blood,,
"Support: Myopia is corrected with a concave lens, while hyperopia is corrected with a convex lens. \n Question: What lens shape corrects myopia?",concave,flat,sedimentary,,
"Support: Nearly all earthquakes occur at plate boundaries, and all types of plate boundaries have earthquakes. \n Question: Nearly all earthquakes occur where?",plate boundaries,plate centers,lone pair,,
"Support: Hydrocarbons may form straight chains, branched chains, or rings. Ring-shaped hydrocarbons are called cyclic hydrocarbons. \n Question: What are ring-shaped hydrocarbons called?",cyclic hydrocarbons,reverse hydrocarbons,dimensional analysis,,
"Support: Red blood cells carry oxygen, white blood cells defend the body, and platelets help blood clot. \n Question: What cells carry oxygen?",red blood cells,marrow cells,regional metamorphism,,
Support: Outline the forces that act on particles in the nucleus. \n Question: What type of movement is caused by erosion from direct gravity?,mass movement,frictional movement,temperature,,
"Support: The nucleolus, which makes ribosomes, is also within the nucleus. \n Question: The nucleolus, which makes ribosomes, is located within what cell structure?",nucleus,mitochondria,outermost layer,,
Support: Adolescence includes the physical changes of puberty among other changes. \n Question: Puberty and other physical changes occurs during which stage of development?,adolescence,childhood,chemicals,,
Support: Protozoa are single-celled eukaryotes that share some traits with animals. \n Question: Single-celled eukaryotes that share some traits with animals are also called?,eukaryotes,prokaryotes,active,,
Support: Light has properties of both a wave and a particle. \n Question: Light has the properties of both a wave and what else?,particle,atom,ammonia,,
"Support: Electrons can occupy only certain regions of space, called orbits. \n Question: What are the only regions of space that electrons can occupy?",orbits,galaxies,alterations of chromosome,,
Support: Ribosomes are structures in the cytoplasm where proteins are made. \n Question: What are the structures in the cytoplasm where proteins are made?,ribosomes,nucleus,properties,,
Support: An aquifer is a saturated layer of rock or soil. \n Question: What is defined as a saturated layer of rock or soil?,aquifer,river bank,germline and somatic,,
Support: Animal-like protists are called protozoa. Most consist a single cell. \n Question: What is the term for animal-like protists that are usually single-celled?,protozoa,eukaryotes,atomic number,,
Support: Mitochondria are thought to have evolved from ancient prokaryotic cells. \n Question: Mitochondria are thought to have evolved from what kind of cells?,ancient prokaryotic,ancient  ribosome,matter & energy,,
Support: Prokaryotic cells have a cell wall outside their plasma membrane. \n Question: Prokaryotic cells have a cell wall located outside of the __________?,plasma membrane,epidermis,adolescence,,
Support: Meiosis involves two cell divisions and produces four haploid cells. \n Question: What process involves two cell divisions and produces four haploid cells?,meiosis,mutations,biological,,
Support: Living organisms obtain chemical energy in one of two ways. \n Question: In how many ways ca a living organism obtain chemical energy,two,three,increases,,
Support: Parallel electrical circuits have multiple paths the current may take. \n Question: What type electrical circuits have multiple paths the current may take?,parallel,perpendicular,sedimentary,,
Support: 45.3 The hypothalamus and pituitary are central to endocrine regulation. \n Question: Regulation of endocrine depends on the hypothalmus and what other gland?,pituitary,thyroid,the mass remains the same,,
Support: Gene cloning is making an exact copy of a gene. \n Question: What artificial process involves making an exact copy of a gene?,gene cloning,material cloning,earthquake,,
Support: Fats are solid lipids that animals use to store energy. \n Question: What are solid lipids that animals use to store energy called?,fats,steroids,epithelial,,
"Support: Electric current is measured in coulombs per second, or amperes. \n Question: Electric current is measured in coulombs per second, also called what?",amperes,voltages,an ice sheet,,
Support: Mitochondria are organelles whose membranes are specialized for aerobic respiration. \n Question: Organelles whose membranes are specialized for aerobic respiration are called what?,mitochondria,vacuoles,dermis,,
"Support: Human senses include sight, hearing, balance, taste, smell, and touch. \n Question: Sight, hearing, balance, taste, smell, and touch are types of what?",senses,sensation types,dietary,,
Support: Solids can be divided into amorphous solids and crystalline solids. \n Question: Solids can be divided into amorphous solids and which other group?,crystalline solids,morphous solids,none,,
"Support: 30.3 The reproductive adaptations of angiosperms include flowers and fruits. \n Question: In angiosperms, flowers and fruits are adaptations essential for what process?",reproduction,variation,atmosphere,,
"Support: Plant hormones include ethylene, gibberellins, cytokinins, absciscic acid, and auxins. \n Question: Ethylene, gibberellins, cytokinins, absciscic acid, and auxins are examples of what?",plant hormones,insect hormones,radiation,,
Support: All three types of convergent plate boundaries produce massive earthquakes. \n Question: All three types of convergent plate boundaries produce what destructive phenomenon?,earthquake,storm,earthquakes,,
Support: Hydrogen gas and oxygen gas are ignited to produce water. \n Question: What is produced when hydrogen gas and oxygen gas are ignited?,water,liquid,temperature,,
Support: Ionic bonds are formed by the attraction between oppositely charged ions. \n Question: What are formed by the attraction between oppositely charged ions?,ionic bonds,inept bonds,straight line,,
Support: The earliest fungi may have evolved about 600 million years ago. \n Question: How many years ago may the earliest fungi have evolved?,600 million,.350 million,prokaryotes,,
"Support: Photosynthesis occurs in the chloroplast, an organelle specific to plant cells. \n Question: Which organelle specific to plant cells is responsible for photosynthesis?",the chloroplast,the mitochondria,krebs cycle,,
